step,max_H_nodal,max_psi_plus,max_damage,delta_H,delta_damage,reaction_force,applied_disp
218,1957665.6041,4678360.3513,1.000000,0.0000,0.000000,-0.257523,0.00669000
219,1963509.9891,4692399.0243,1.000000,0.0000,0.000000,-0.256660,0.00670000
220,1969362.7605,4706458.1451,1.000000,0.0000,0.000000,-0.255802,0.00671000
221,1975223.8494,4720537.6238,1.000000,0.0000,0.000000,-0.254949,0.00672000
222,1981093.3191,4734637.5602,1.000000,0.0000,0.000000,-0.254102,0.00673000
223,1986971.1766,4748757.9552,1.000000,0.0000,0.000000,-0.253260,0.00674000
224,1992857.4216,4762898.8056,1.000000,0.0000,0.000000,-0.252423,0.00675000
225,1998752.0540,4777060.1170,1.000000,0.0000,0.000000,-0.251592,0.00676000
226,2004655.0733,4791241.8857,1.000000,0.0000,0.000000,-0.250765,0.00677000
227,2010566.4795,4805444.1117,1.000000,0.0000,0.000000,-0.249943,0.00678000
228,2016486.2722,4819666.7951,1.000000,0.0000,0.000000,-0.249127,0.00679000
229,2022414.4359,4833909.9119,1.000000,0.0000,0.000000,-0.248315,0.00680000
230,2028350.9395,4848173.4159,1.000000,0.0000,0.000000,-0.247509,0.00681000
231,2034295.8239,4862457.3757,1.000000,0.0000,0.000000,-0.246707,0.00682000
232,2040249.0938,4876761.7918,1.000000,0.0000,0.000000,-0.245911,0.00683000
233,2046210.7491,4891086.6643,1.000000,0.0000,0.000000,-0.245119,0.00684000
234,2052180.7896,4905431.9928,1.000000,0.0000,0.000000,-0.244332,0.00685000
235,2058159.2150,4919797.7773,1.000000,0.0000,0.000000,-0.243550,0.00686000
236,2064146.0251,4934184.0175,1.000000,0.0000,0.000000,-0.242772,0.00687000
237,2070141.2196,4948590.7130,1.000000,0.0000,0.000000,-0.242000,0.00688000
238,2076144.7983,4963017.8637,1.000000,0.0000,0.000000,-0.241231,0.00689000
239,2082156.7610,4977465.4695,1.000000,0.0000,0.000000,-0.240468,0.00690000
240,2088177.1074,4991933.5278,1.000000,0.0000,0.000000,-0.239709,0.00691000
241,2094205.8366,5006422.0555,1.000000,0.0000,0.000000,-0.238955,0.00692000
242,2100242.9518,5020931.0129,1.000000,0.0000,0.000000,-0.238205,0.00693000
243,2106288.4460,5035460.4490,1.000000,0.0000,0.000000,-0.237460,0.00694000
244,2112342.3269,5050010.3150,1.000000,0.0000,0.000000,-0.236720,0.00695000
245,2118404.5864,5064580.6591,1.000000,0.0000,0.000000,-0.235983,0.00696000
246,2124475.2321,5079171.4454,1.000000,0.0000,0.000000,-0.235252,0.00697000
247,2130554.2581,5093782.6847,1.000000,0.0000,0.000000,-0.234524,0.00698000
248,2136641.6658,5108414.3772,1.000000,0.0000,0.000000,-0.233801,0.00699000
249,2142737.4550,5123066.5230,1.000000,0.0000,0.000000,-0.233082,0.00700000
250,2148841.6255,5137739.1217,1.000000,0.0000,0.000000,-0.232368,0.00701000
251,2154954.1772,5152432.1733,1.000000,0.0000,0.000000,-0.231658,0.00702000
252,2161075.1097,5167145.6777,1.000000,0.0000,0.000000,-0.230952,0.00703000
253,2167204.3824,5181879.5718,1.000000,0.0000,0.000000,-0.230250,0.00704000
254,2173342.0254,5196633.9115,1.000000,0.0000,0.000000,-0.229552,0.00705000
255,2179488.0477,5211408.7029,1.000000,0.0000,0.000000,-0.228859,0.00706000
256,2185642.4495,5226203.9458,1.000000,0.0000,0.000000,-0.228169,0.00707000
257,2191805.2305,5241019.6402,1.000000,0.0000,0.000000,-0.227484,0.00708000
258,2197976.3906,5255855.7863,1.000000,0.0000,0.000000,-0.226802,0.00709000
259,2204155.9295,5270712.3836,1.000000,0.0000,0.000000,-0.226125,0.00710000
260,2210343.8469,5285589.4319,1.000000,0.0000,0.000000,-0.225452,0.00711000
261,2216540.1425,5300486.9308,1.000000,0.0000,0.000000,-0.224783,0.00712000
262,2222744.8162,5315404.8803,1.000000,0.0000,0.000000,-0.224117,0.00713000
263,2228957.8677,5330343.2802,1.000000,0.0000,0.000000,-0.223456,0.00714000
264,2235179.2968,5345302.1303,1.000000,0.0000,0.000000,-0.222798,0.00715000
265,2241409.1031,5360281.4306,1.000000,0.0000,0.000000,-0.222145,0.00716000
266,2247647.2865,5375281.1769,1.000000,0.0000,0.000000,-0.221495,0.00717000
267,2253893.8466,5390301.3769,1.000000,0.0000,0.000000,-0.220849,0.00718000
268,2260148.7834,5405342.0267,1.000000,0.0000,0.000000,-0.220207,0.00719000
269,2266412.0965,5420403.1259,1.000000,0.0000,0.000000,-0.219569,0.00720000
270,2272683.7857,5435484.6746,1.000000,0.0000,0.000000,-0.218934,0.00721000
271,2278963.8507,5450586.6727,1.000000,0.0000,0.000000,-0.218303,0.00722000
272,2285252.2913,5465709.1200,1.000000,0.0000,0.000000,-0.217676,0.00723000
273,2291549.1073,5480852.0165,1.000000,0.0000,0.000000,-0.217053,0.00724000
274,2297854.2984,5496015.3621,1.000000,0.0000,0.000000,-0.216433,0.00725000
275,2304167.8644,5511199.1568,1.000000,0.0000,0.000000,-0.215817,0.00726000
276,2310489.8050,5526403.4005,1.000000,0.0000,0.000000,-0.215204,0.00727000
277,2316820.1201,5541628.0929,1.000000,0.0000,0.000000,-0.214595,0.00728000
278,2323158.8092,5556873.2338,1.000000,0.0000,0.000000,-0.213990,0.00729000
279,2329505.8723,5572138.8232,1.000000,0.0000,0.000000,-0.213388,0.00730000
280,2335861.3102,5587424.8643,1.000000,0.0000,0.000000,-0.212789,0.00731000
281,2342225.1251,5602731.3572,1.000000,0.0000,0.000000,-0.212195,0.00732000
282,2348597.3135,5618058.2981,1.000000,0.0000,0.000000,-0.211603,0.00733000
283,2354977.8557,5633405.6566,1.000000,0.0000,0.000000,-0.211015,0.00734000
284,2361366.7400,5648773.4184,1.000000,0.0000,0.000000,-0.210431,0.00735000
285,2367763.9929,5664161.6246,1.000000,0.0000,0.000000,-0.209850,0.00736000
286,2374169.6171,5679570.2814,1.000000,0.0000,0.000000,-0.209272,0.00737000
287,2380583.6142,5694999.3861,1.000000,0.0000,0.000000,-0.208698,0.00738000
288,2387005.9832,5710448.9385,1.000000,0.0000,0.000000,-0.208127,0.00739000
289,2393436.7231,5725918.9447,1.000000,0.0000,0.000000,-0.207559,0.00740000
290,2399875.8257,5741409.3582,1.000000,0.0000,0.000000,-0.206995,0.00741000
291,2406323.2939,5756920.2524,1.000000,0.0000,0.000000,-0.206433,0.00742000
292,2412779.1379,5772451.5612,1.000000,0.0000,0.000000,-0.205876,0.00743000
293,2419243.3478,5788003.3504,1.000000,0.0000,0.000000,-0.205321,0.00744000
294,2425715.9331,5803575.5544,1.000000,0.0000,0.000000,-0.204769,0.00745000
295,2432196.8838,5819168.2382,1.000000,0.0000,0.000000,-0.204221,0.00746000
296,2438686.2094,5834781.3371,1.000000,0.0000,0.000000,-0.203676,0.00747000
297,2445183.9000,5850414.9154,1.000000,0.0000,0.000000,-0.203134,0.00748000
298,2451689.9652,5866068.9089,1.000000,0.0000,0.000000,-0.202595,0.00749000
299,2458204.3847,5881743.3412,1.000000,0.0000,0.000000,-0.202059,0.00750000
300,2464727.1117,5897438.1307,1.000000,0.0000,0.000000,-0.201526,0.00751000
301,2471258.1886,5913153.3339,1.000000,0.0000,0.000000,-0.200996,0.00752000
302,2477797.6232,5928889.0060,1.000000,0.0000,0.000000,-0.200470,0.00753000
303,2484345.4301,5944645.1098,1.000000,0.0000,0.000000,-0.199946,0.00754000
304,2490901.6027,5960421.6594,1.000000,0.0000,0.000000,-0.199425,0.00755000
305,2497466.1428,5976218.6556,1.000000,0.0000,0.000000,-0.198907,0.00756000
306,2504039.0504,5992036.0988,1.000000,0.0000,0.000000,-0.198393,0.00757000
307,2510620.3252,6007873.9888,1.000000,0.0000,0.000000,-0.197881,0.00758000
308,2517209.9671,6023732.3257,1.000000,0.0000,0.000000,-0.197372,0.00759000
309,2523807.9759,6039611.1095,1.000000,0.0000,0.000000,-0.196866,0.00760000
310,2530414.3242,6055510.2976,1.000000,0.0000,0.000000,-0.196363,0.00761000
311,2537029.0175,6071429.9040,1.000000,0.0000,0.000000,-0.195862,0.00762000
312,2543652.0745,6087369.9570,1.000000,0.0000,0.000000,-0.195365,0.00763000
313,2550283.4976,6103330.4578,1.000000,0.0000,0.000000,-0.194870,0.00764000
314,2556923.2868,6119311.4066,1.000000,0.0000,0.000000,-0.194379,0.00765000
315,2563571.4419,6135312.8028,1.000000,0.0000,0.000000,-0.193890,0.00766000
316,2570227.9626,6151334.6459,1.000000,0.0000,0.000000,-0.193404,0.00767000
317,2576892.8486,6167376.9360,1.000000,0.0000,0.000000,-0.192920,0.00768000
318,2583566.1207,6183439.6732,1.000000,0.0000,0.000000,-0.192440,0.00769000
319,2590247.9124,6199522.8523,1.000000,0.0000,0.000000,-0.191962,0.00770000
320,2596938.0687,6215626.4836,1.000000,0.0000,0.000000,-0.191486,0.00771000
321,2603636.5897,6231750.5622,1.000000,0.0000,0.000000,-0.191014,0.00772000
322,2610343.4751,6247895.0878,1.000000,0.0000,0.000000,-0.190544,0.00773000
323,2617058.7247,6264060.0608,1.000000,0.0000,0.000000,-0.190077,0.00774000
324,2623782.3383,6280245.4817,1.000000,0.0000,0.000000,-0.189612,0.00775000
325,2630514.3161,6296451.3501,1.000000,0.0000,0.000000,-0.189150,0.00776000
326,2637254.6575,6312677.6660,1.000000,0.0000,0.000000,-0.188691,0.00777000
