step,time,elastic,fracture,kinetic,external,total
162,5.375000000e-01,2.130393751e+01,1.835868348e+02,0.000000000e+00,0.000000000e+00,2.048907723e+02
163,5.500000000e-01,2.188687533e+01,1.840406084e+02,0.000000000e+00,0.000000000e+00,2.059274837e+02
164,5.625000000e-01,2.242667770e+01,1.845429662e+02,0.000000000e+00,0.000000000e+00,2.069696439e+02
165,5.750000000e-01,2.273215609e+01,1.852981888e+02,0.000000000e+00,0.000000000e+00,2.080303448e+02
166,5.875000000e-01,2.315071848e+01,1.859250150e+02,0.000000000e+00,0.000000000e+00,2.090757335e+02
167,6.000000000e-01,2.383486083e+01,1.862646064e+02,0.000000000e+00,0.000000000e+00,2.100994672e+02
168,6.125000000e-01,2.449094598e+01,1.866409358e+02,0.000000000e+00,0.000000000e+00,2.111318817e+02
169,6.250000000e-01,2.493290393e+01,1.872507219e+02,0.000000000e+00,0.000000000e+00,2.121836259e+02
170,6.375000000e-01,2.534961736e+01,1.878873236e+02,0.000000000e+00,0.000000000e+00,2.132369410e+02
171,6.500000000e-01,2.604626625e+01,1.882233903e+02,0.000000000e+00,0.000000000e+00,2.142696566e+02
172,6.625000000e-01,2.682909851e+01,1.884745869e+02,0.000000000e+00,0.000000000e+00,2.153036855e+02
173,6.750000000e-01,2.760902105e+01,1.887390974e+02,0.000000000e+00,0.000000000e+00,2.163481185e+02
174,6.875000000e-01,2.822298261e+01,1.891905797e+02,0.000000000e+00,0.000000000e+00,2.174135623e+02
175,7.000000000e-01,2.876725226e+01,1.897214782e+02,0.000000000e+00,0.000000000e+00,2.184887304e+02
176,7.125000000e-01,2.940634505e+01,1.901539292e+02,0.000000000e+00,0.000000000e+00,2.195602743e+02
177,7.250000000e-01,3.022255937e+01,1.904018962e+02,0.000000000e+00,0.000000000e+00,2.206244555e+02
178,7.375000000e-01,3.109869388e+01,1.905960796e+02,0.000000000e+00,0.000000000e+00,2.216947735e+02
179,7.500000000e-01,3.200398048e+01,1.907710423e+02,0.000000000e+00,0.000000000e+00,2.227750227e+02
180,7.625000000e-01,3.291222232e+01,1.909553754e+02,0.000000000e+00,0.000000000e+00,2.238675977e+02
181,7.750000000e-01,3.375050792e+01,1.912269087e+02,0.000000000e+00,0.000000000e+00,2.249774166e+02
182,7.875000000e-01,3.443232566e+01,1.916766472e+02,0.000000000e+00,0.000000000e+00,2.261089729e+02
183,8.000000000e-01,3.510310186e+01,1.921460784e+02,0.000000000e+00,0.000000000e+00,2.272491802e+02
184,8.125000000e-01,3.597906865e+01,1.924002660e+02,0.000000000e+00,0.000000000e+00,2.283793347e+02
185,8.250000000e-01,3.694047567e+01,1.925728490e+02,0.000000000e+00,0.000000000e+00,2.295133246e+02
186,8.375000000e-01,3.793913057e+01,1.927177478e+02,0.000000000e+00,0.000000000e+00,2.306568783e+02
187,8.500000000e-01,3.896186378e+01,1.928501545e+02,0.000000000e+00,0.000000000e+00,2.318120183e+02
188,8.625000000e-01,4.000192191e+01,1.929778602e+02,0.000000000e+00,0.000000000e+00,2.329797822e+02
189,8.750000000e-01,4.105378975e+01,1.931069406e+02,0.000000000e+00,0.000000000e+00,2.341607303e+02
190,8.875000000e-01,4.210165523e+01,1.932543255e+02,0.000000000e+00,0.000000000e+00,2.353559807e+02
191,9.000000000e-01,4.308011159e+01,1.934899258e+02,0.000000000e+00,0.000000000e+00,2.365700374e+02
192,9.125000000e-01,4.399580383e+01,1.938052507e+02,0.000000000e+00,0.000000000e+00,2.378010545e+02
193,9.250000000e-01,4.501865017e+01,1.940154435e+02,0.000000000e+00,0.000000000e+00,2.390340936e+02
194,9.375000000e-01,4.608827923e+01,1.941875226e+02,0.000000000e+00,0.000000000e+00,2.402758019e+02
195,9.500000000e-01,4.716044863e+01,1.943702611e+02,0.000000000e+00,0.000000000e+00,2.415307097e+02
196,9.625000000e-01,4.822883936e+01,1.945704356e+02,0.000000000e+00,0.000000000e+00,2.427992750e+02
197,9.750000000e-01,4.933502748e+01,1.947422599e+02,0.000000000e+00,0.000000000e+00,2.440772874e+02
198,9.875000000e-01,5.047006014e+01,1.948955078e+02,0.000000000e+00,0.000000000e+00,2.453655680e+02
199,1.000000000e+00,5.161726283e+01,1.950487549e+02,0.000000000e+00,0.000000000e+00,2.466660178e+02
