element,centroid_x,centroid_y,E,Gc,history
213,0.861111111111111,0.38888888888888884,1000.0,1.0,3.2000000000000055
214,0.9722222222222222,0.3611111111111111,1000.0,1.0,3.200000000000005
215,0.9444444444444443,0.38888888888888884,1000.0,1.0,3.200000000000005
216,1.0555555555555554,0.3611111111111111,1000.0,1.0,3.2000000000000055
217,1.0277777777777777,0.38888888888888884,1000.0,1.0,3.2000000000000055
218,1.1388888888888888,0.3611111111111111,1000.0,1.0,3.200000000000005
219,1.111111111111111,0.38888888888888884,1000.0,1.0,3.200000000000005
220,1.222222222222222,0.3611111111111111,1000.0,1.0,3.200000000000005
221,1.1944444444444444,0.38888888888888884,1000.0,1.0,3.200000000000005
222,1.3055555555555554,0.3611111111111111,1000.0,0.35,3.2000000000000055
223,1.2777777777777777,0.38888888888888884,1000.0,0.35,3.2000000000000055
224,1.3888888888888886,0.3611111111111111,1000.0,0.35,3.200000000000005
225,1.361111111111111,0.38888888888888884,1000.0,0.35,3.200000000000005
226,1.472222222222222,0.3611111111111111,1000.0,1.0,3.2000000000000055
227,1.4444444444444444,0.38888888888888884,1000.0,1.0,3.2000000000000055
228,1.5555555555555554,0.3611111111111111,1000.0,1.0,3.2000000000000055
229,1.5277777777777777,0.38888888888888884,1000.0,1.0,3.2000000000000055
230,1.6388888888888886,0.3611111111111111,1000.0,1.0,3.200000000000006
231,1.611111111111111,0.38888888888888884,1000.0,1.0,3.200000000000006
232,1.722222222222222,0.3611111111111111,1000.0,1.0,3.200000000000005
233,1.6944444444444444,0.38888888888888884,1000.0,1.0,3.200000000000005
234,1.8055555555555554,0.3611111111111111,1000.0,1.0,3.2000000000000055
235,1.7777777777777777,0.38888888888888884,1000.0,1.0,3.2000000000000055
236,1.8888888888888886,0.3611111111111111,1000.0,1.0,3.2000000000000055
237,1.861111111111111,0.38888888888888884,1000.0,1.0,3.2000000000000055
238,1.972222222222222,0.3611111111111111,1000.0,1.0,3.200000000000005
239,1.9444444444444444,0.38888888888888884,1000.0,1.0,3.200000000000005
240,0.05555555555555555,0.4444444444444444,1000.0,1.0,3.200000000000001
241,0.027777777777777776,0.47222222222222215,1000.0,1.0,3.200000000000001
242,0.13888888888888887,0.4444444444444444,1000.0,1.0,3.200000000000001
243,0.1111111111111111,0.47222222222222215,1000.0,1.0,3.200000000000001
244,0.2222222222222222,0.4444444444444444,1000.0,1.0,3.200000000000001
245,0.19444444444444442,0.47222222222222215,1000.0,1.0,3.200000000000001
